"","x"
"1",0.01673
"2",0.01802
"3",0.0212
"4",0.01918
"5",0.01522
"6",0.01913
"7",0.01318
"8",0.02061
"9",0.0169
"10",0.0189
"11",0.02366
"12",0.01486
"13",0.01877
"14",0.01236
"15",0.0183
"16",0.02753
"17",0.01714
"18",0.0165
"19",0.02305
"20",0.02284
"21",0.01609
"22",0.01306
"23",0.0143
"24",0.0162
"25",0.02715
"26",0.0205
"27",0.02503
"28",0.02043
"29",0.01117
"30",0.03269
"31",0.02746
"32",0.01103
"33",0.02163
"34",0.01292
"35",0.01458
"36",0.01553
"37",0.01538
"38",0.01911
"39",0.01995
"40",0.03007
"41",0.02783
"42",0.02539
"43",0.0293
"44",0.01205
"45",0.01882
"46",0.01985
"47",0.01595
"48",0.00941
"49",0.01415
"50",0.01042
"51",0.02233
"52",0.01713
"53",0.01714
"54",0.02099
"55",0.01358
"56",0.01144
"57",0.01224
"58",0.02265
"59",0.0206
"60",0.01937
"61",0.02035
"62",0.02151
"63",0.0162
"64",0.01833
"65",0.01218
"66",0.01603
"67",0.0216
"68",0.01785
"69",0.02012
"70",0.01583
"71",0.01347
"72",0.01985
"73",0.02346
"74",0.01736
"75",0.02268
"76",0.01837
"77",0.01929
"78",0.01463
"79",0.01478
"80",0.02391
"81",0.02619
"82",0.01823
"83",0.02305
"84",0.02718
"85",0.02531
"86",0.01105
"87",0.02497
"88",0.02168
"89",0.02001
"90",0.01496
"91",0.01189
"92",0.02245
"93",0.01458
"94",0.01264
"95",0.01456
"96",0.02045
"97",0.0168
"98",0.01005
"99",0.01929
"100",0.02177
"101",0.01646
"102",0.01825
"103",0.01708
"104",0.0165
"105",0.01976
"106",0.01334
"107",0.02621
"108",0.01466
"109",0.02307
"110",0.01658
"111",0.02883
"112",0.01337
"113",0.01091
"114",0.01663
"115",0.00836
"116",0.01669
"117",0.01413
"118",0.01428
"119",0.01775
"120",0.01103
"121",0.02026
"122",0.01342
"123",0.01601
"124",0.01598
"125",0.00936
"126",0.013
"127",0.01556
"128",0.02155
"129",0.01121
"130",0.02077
"131",0.01203
"132",0.01112
"133",0.01065
"134",0.01827
"135",0.0159
"136",0.01533
"137",0.02041
"138",0.0141
"139",0.02481
"140",0.01818
"141",0.02435
"142",0.01384
"143",0.02136
"144",0.01297
"145",0.03952
"146",0.0275
"147",0.01406
"148",0.01385
"149",0.01708
"150",0.01203
"151",0.01702
"152",0.02235
"153",0.01419
"154",0.01973
"155",0.01959
"156",0.01277
"157",0.0148
"158",0.01553
"159",0.01768
"160",0.01434
"161",0.01716
"162",0.01414
"163",0.01179
"164",0.02084
