subject,condition,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
301,S,-25204.125,-24965.09375,-18988.5625,-28846.03125,-22055.34375,-26007.375,-21453.34375,-22165.15625,-20504.65625,-18100.25,-21415.71875,-26928.34375,-23971.15625,-17721,-20328.40625,-20566.21875,-23711.21875,-21880.6875,-20701.125,-22873.53125,-22112.6875,-16895.96875,-26829.28125,-24019.15625,-28485.375,-21166.46875,-27772.5625,-22616.59375,-23955.375,-23850.125,-22346.6875,-26338.78125,-20442.03125,-18609.78125,-28111.40625,-24026.875,-22704.8125,-22902.9375,-21947.6875,-32205.25,-28132.0625,-25623.46875,-25958.34375,-24389.78125,-30714.8125,-24335.875,-26996.3125,-28579.3125,-28566.28125,-22565.84375,-20457.875,-18750.34375,-15668.875,-22286.9375,-18074.625,-22441.5,-22785.84375,-21330.9375,-24207.625,-24335.625,-19065.75,-20891.46875,-25571.9375,-20207.59375,-18604.21875,-21472.28125,-23234.59375,-27587.09375,-20802.03125,-18434.875,-23237.40625,-18586.59375,-24043.375,-23920.53125,-20785.875,-25377.625,-24912.125,-21108.125,-21836,-19146.53125,-23092.8125,-25940.375,-16923.65625,-20446.46875,-24461.21875,-23332.1875,-21600.90625,-17381.3125,-18872.21875,-22289.15625,-18909.25,-21881.5625,-29680.3125,-21877.84375,-20601.21875,-13203.25,-27261.6875,-24397.34375,-22432.5,-20980.03125,-24820.625,-18677.875,-25497.96875,-24850.78125,-21308.5,-25250.3125,-24923.03125,-25620.5,-21893.90625,-24566.65625,-23228.09375,-22793.09375,-24182.65625,-24782.75,-26038.53125,-17883.0625,-24332.71875,-26892.125,-24324.3125,-17400.21875,-28420.46875,-24349.375,-24938.28125,-27729.125,-21809.21875,-21564.4375,-25585.375,-26488.59375
301,T,-18220.6153846154,-22548.0384615385,-14420.9230769231,-17234.6153846154,-15623.4230769231,-19305.1538461538,-19758.4615384615,-18212.8461538462,-14503.6923076923,-13765.5384615385,-8470.26923076923,-15995.2692307692,-18565.0384615385,-18072.8846153846,-15103.4230769231,-13463.5384615385,-11981.0384615385,-23383.7692307692,-16896.3076923077,-20899.1153846154,-12840.5,-16869.8461538462,-21410.3076923077,-21665.6538461538,-21384.5384615385,-26131,-15666.7692307692,-22285.7307692308,-23912.7692307692,-14968.8846153846,-13237.9230769231,-21571.3846153846,-20053.3846153846,-17622.1923076923,-18059.6153846154,-21276,-15320.5769230769,-21391.9230769231,-23763.1923076923,-21912.3076923077,-16878.1153846154,-11396.7307692308,-17237.1923076923,-15639.7692307692,-12771.1538461538,-16341.7307692308,-9573.76923076923,-21533.1923076923,-20465.5769230769,-17995.8846153846,-16035.8461538462,-8816.30769230769,-12666.0384615385,-17670.4230769231,-17307.8846153846,-16574.3461538462,-13744.8461538462,-14718.5,-15304.6153846154,-14086.5384615385,-17728.2692307692,-24820.1538461538,-17095.4230769231,-16837.2692307692,-19068.4615384615,-13198.5769230769,-19093.4615384615,-15121.1538461538,-19044.7307692308,-18725.3846153846,-16063.0384615385,-23537.7307692308,-17126.1923076923,-14975.9615384615,-20145,-27371.8846153846,-20552.7692307692,-16185.2307692308,-18641.0384615385,-21229.9230769231,-19431.0384615385,-16048.1923076923,-16111.5384615385,-17376.7307692308,-22428.3846153846,-20060.8076923077,-21909.3461538462,-22649.4230769231,-16687.4615384615,-15791.7692307692,-12683.4230769231,-14951.1153846154,-13627.9615384615,-22602.5,-11766.1923076923,-20020,-15875.2692307692,-17448.1538461538,-15289.8846153846,-14093.5769230769,-14563.8461538462,-17762.8076923077,-18310.6923076923,-21125.1153846154,-19308.0769230769,-20160.1538461538,-14230.7307692308,-17032.5384615385,-17766.1153846154,-14894.3846153846,-20101.1923076923,-19266.4615384615,-21176.0769230769,-17246.5769230769,-20659.0384615385,-18613.1538461538,-12480.1923076923,-15931.1923076923,-24168.6153846154,-20268.6153846154,-21283.9615384615,-20632.8076923077,-16634.5384615385,-18760.2692307692,-17526.0769230769,-19477.9230769231,-19269.3076923077,-17410.8076923077
301,M,-25084.4411764706,-25784.8235294118,-18688.5588235294,-23918.3529411765,-20318.7941176471,-25895.3823529412,-18512.0588235294,-23984.7352941176,-18312.2058823529,-12862.4705882353,-18936.6764705882,-23964.4411764706,-20669.3235294118,-13689.5588235294,-17354.0588235294,-16309.2941176471,-16503.9117647059,-21616.5882352941,-23584.1176470588,-21733.1470588235,-17119.7647058824,-18223.3235294118,-24804.7352941176,-26443.8235294118,-24443.5,-21506.5,-19022.6764705882,-25062.4117647059,-23347.5294117647,-21273.4705882353,-18261.3235294118,-23286.5,-19747.7647058824,-17392.7941176471,-24082.2941176471,-25199.7647058824,-22144.6176470588,-21588.4705882353,-22319.6764705882,-27761.1470588235,-19926.5588235294,-19151.2058823529,-23848.1470588235,-24312.8823529412,-20674.6176470588,-19239.2058823529,-15012.5294117647,-26414.6176470588,-26175.6470588235,-19027.9705882353,-18787.0294117647,-14331.9117647059,-15584.6470588235,-21112.7647058824,-19352.5588235294,-18570.4705882353,-22391.7352941176,-18976.1470588235,-21601.4117647059,-19362.4705882353,-19758.4411764706,-24225.9411764706,-25200.4411764706,-16929.6176470588,-21706.5,-18913.1764705882,-22615.7352941176,-24322,-23120.2941176471,-20028.3529411765,-21306.5294117647,-22744.9411764706,-22320.2058823529,-21737.1176470588,-20145.2647058824,-26007.9411764706,-20237.0588235294,-17561.9411764706,-21807.5588235294,-20777.6470588235,-22843.2058823529,-24772.2941176471,-17286.8235294118,-18611.3529411765,-25681.0882352941,-22876.4117647059,-24332.7647058824,-23518.9411764706,-19309.0882352941,-20350.8823529412,-14626.3235294118,-16896.7941176471,-20676.4411764706,-24605.8529411765,-17603.4411764706,-17939.2647058824,-21265.4705882353,-18145.7647058824,-19168,-16504.8235294118,-19580.2352941176,-15385.3235294118,-22814.3235294118,-23223.5,-20462.2941176471,-20458,-19478.5294117647,-25341,-18973,-18784.7941176471,-21425.5588235294,-24330.0294117647,-23804.6176470588,-21146.1176470588,-20996.7352941176,-19759.6470588235,-17482.7352941176,-22644.0882352941,-27221.5588235294,-21357.1764705882,-27346.2647058824,-19526.3235294118,-23547.6764705882,-21787.2058823529,-24233.1470588235,-20407.1470588235,-20370.8823529412,-19997.3235294118
301,N,-17808.2083333333,-21185.3333333333,-14465.2916666667,-23247.875,-17547.5416666667,-18905.2916666667,-23784.0416666667,-15305.75,-17109.5833333333,-20824.5,-10903.4583333333,-19283.0416666667,-22792.125,-23813.4166666667,-18881.6666666667,-18902.2916666667,-21213.875,-23883.1666666667,-12495,-22350.125,-19141.125,-14987.25,-23826.8333333333,-18034.5833333333,-26518.7916666667,-26063,-27053.625,-18793.25,-24770.3333333333,-17879.0416666667,-18266.4583333333,-25498.1666666667,-21004.5416666667,-19263.9583333333,-22929.875,-19385.1666666667,-15498.8333333333,-23128.1666666667,-23387.5,-27350.375,-27564.75,-19380.2083333333,-19499.875,-15019.5416666667,-25499.4583333333,-22895.8333333333,-25098.9166666667,-24012.6666666667,-23177.25,-22627.0416666667,-18034.375,-14247.9166666667,-12535.125,-18949.125,-15433.5833333333,-21569.375,-13549.75,-17503.4166666667,-18254.8333333333,-20277.75,-16635.5,-20423.7083333333,-16915.3333333333,-21200.2083333333,-14712.25,-16134.5,-19625.0833333333,-18707.875,-15614.0833333333,-16492.1666666667,-18200.5833333333,-18059.3333333333,-18990.9166666667,-17323.75,-20999.125,-26645.125,-26812.5,-20798.75,-18415.0833333333,-19092.7916666667,-19479.5,-16878.625,-15529.375,-19720.6666666667,-20530.8333333333,-20433.875,-18064.9166666667,-14393.4583333333,-15886.5,-17996.2083333333,-18232.0833333333,-21435.3333333333,-25045.75,-18798.2083333333,-15276.7916666667,-13878.7083333333,-23421.0416666667,-25725.4583333333,-19319.375,-19859.5833333333,-21133,-22351,-21513.5833333333,-23119.9583333333,-20340.1666666667,-26525.0833333333,-21052.75,-16712.8333333333,-21560.0833333333,-22279.3333333333,-22394.2083333333,-16795.25,-21461.0833333333,-21770.4583333333,-27353.2916666667,-16015.5,-21196.625,-21035.8333333333,-20051.2083333333,-14901.9583333333,-22211.0416666667,-27155.75,-17912.5833333333,-26430.5833333333,-13735.25,-20943.5416666667,-26130.1666666667,-25850.2916666667
301,L,-18964.5555555556,-21888.7037037037,-14475.8888888889,-22484.1481481481,-20615.4444444444,-27535.4444444444,-20669.1851851852,-21528.1851851852,-15091.8148148148,-12231.1111111111,-16110.1851851852,-25558.7777777778,-25473.037037037,-16923.037037037,-18508.2592592593,-16703.4074074074,-17326.2222222222,-26582.3703703704,-26592.037037037,-27857.7037037037,-16583.6666666667,-18627.1111111111,-27969.7037037037,-26678.2592592593,-27542.5555555556,-19387.2962962963,-19223.3333333333,-23878.037037037,-30685,-22108.7407407407,-16511.2222222222,-26110.3333333333,-17119.4444444444,-17106.2962962963,-23801.1111111111,-24093.5555555556,-18208.6666666667,-19632,-22987.5555555556,-24909.5555555556,-25372.7777777778,-19122.4444444444,-26024.4444444444,-20681.2962962963,-23464.7777777778,-19106.3703703704,-17617.962962963,-27515.4074074074,-25458,-17517.7407407407,-21945.962962963,-15935.1481481481,-17982.3333333333,-19370.2962962963,-20944.8518518519,-13973.1111111111,-18123.1111111111,-23598.1111111111,-23618.8518518519,-23007.1111111111,-21285.1851851852,-23112.7777777778,-19154.4444444444,-14511.1481481481,-22203.6666666667,-18823.4444444444,-21322.9259259259,-21645.0740740741,-22854.6666666667,-18385.6666666667,-19966.4074074074,-20912.7037037037,-18459.4814814815,-18740.4814814815,-19742.4814814815,-28791.3333333333,-19252.8148148148,-19496.962962963,-19868.8148148148,-19804.1481481481,-18320.6666666667,-19049.1111111111,-21386.3333333333,-20061.8518518519,-22099.7777777778,-19716,-24523.4074074074,-18620.8888888889,-22751.7407407407,-20057.4814814815,-15551.962962963,-15584.7407407407,-17982.8518518519,-20416.962962963,-17913.5555555556,-21681.4444444444,-23211.4444444444,-20100.4444444444,-17599.7777777778,-19313.2592592593,-22172.2222222222,-21175.7777777778,-25758.1111111111,-17987.7407407407,-16865.5555555556,-23298.5925925926,-22290.1851851852,-23764.0740740741,-21260.037037037,-24857.9259259259,-20960.7407407407,-22164.7407407407,-18741.1481481481,-16385.2962962963,-24277.037037037,-17653.3703703704,-19906,-20538.8518518519,-19208.9259259259,-20053.037037037,-23295.5185185185,-24107.8888888889,-14756.4814814815,-21589.2962962963,-17832.4444444444,-20856.037037037,-17916.7037037037,-19763.7407407407
301,H,-24781.4516129032,-25617.3225806452,-19088.0322580645,-24648.4193548387,-17914.935483871,-19055.2580645161,-20714.8064516129,-19405.0967741935,-20186,-19576.5161290323,-15179.1935483871,-18951.5161290323,-18128.9032258065,-18711.1290322581,-17531.4516129032,-17973.5161290323,-19434.1290322581,-19046.3225806452,-12379.1935483871,-16876.5161290323,-19151.6129032258,-15366.2903225806,-21291.064516129,-19729.2580645161,-23351,-26879.8709677419,-25065.4193548387,-21240.4193548387,-18058.3548387097,-17918.0322580645,-19789.5806451613,-22539.2903225806,-23009.935483871,-19090.9677419355,-23435,-21661.6129032258,-20427.5806451613,-24484.5161290323,-22564.6774193548,-29926.7741935484,-21096.5161290323,-19353.5483870968,-18586.2580645161,-20281.0322580645,-21979.8387096774,-22185.8387096774,-20552.0967741935,-23596.2903225806,-24479.3548387097,-23129.7096774194,-15453,-12870.5161290323,-11135.4193548387,-20955.3225806452,-14931.6774193548,-24896.3548387097,-19264.1612903226,-13810.3870967742,-17253.3870967742,-16896.7096774194,-16010.935483871,-22251.8064516129,-24052.0322580645,-22342.2903225806,-15858.5806451613,-16840.0967741935,-21426.3870967742,-22307.0967741935,-17540.3870967742,-18721.3870967742,-20069.1290322581,-20713.1935483871,-23105.2580645161,-20930.2903225806,-21157.1290322581,-24077,-26184.9677419355,-18382.5161290323,-20869.7096774194,-20321.1290322581,-24178.0322580645,-23645.7741935484,-12355.6774193548,-18206.8387096774,-24813,-23738.0322580645,-19314.1935483871,-20720.0967741935,-13660.9032258065,-18783.4516129032,-16611.6774193548,-21553.2580645161,-26405.1612903226,-23758,-15532.064516129,-11536.2903225806,-21239.4193548387,-22311.4516129032,-20651.064516129,-16656,-18524.8387096774,-15734.8064516129,-19243.3548387097,-27703.5161290323,-23500.3870967742,-22681.0322580645,-18248.4193548387,-20034.5806451613,-18983.9677419355,-16200.7419354839,-22580.3225806452,-20382.5483870968,-26400.3870967742,-25776,-23060.9032258065,-18695.4516129032,-18247.4193548387,-23232.5806451613,-28649.064516129,-17495.4516129032,-26898.6774193548,-21442.5806451613,-26841.8709677419,-25554.4516129032,-21680.5483870968,-20431.4516129032,-26967.1935483871,-24732.0967741935
302,T,-23330.1935483871,-20368.7338709677,-22951.435483871,-19102.1693548387,-20497.0483870968,-16501.4677419355,-15252.8629032258,-23344.8629032258,-23460.7983870968,-21472.3709677419,-19363.314516129,-18327.7258064516,-18997.0403225806,-24440.3225806452,-23078.3064516129,-23017.2661290323,-21589.8870967742,-19235.6048387097,-20476.7096774194,-21784.6048387097,-22268.5080645161,-21820.2580645161,-20841.7983870968,-16045.7338709677,-23538.1129032258,-21175.0887096774,-19029.564516129,-17791.6935483871,-16139.7983870968,-17873.6048387097,-19647.2661290323,-20561,-20039.9758064516,-19224.7822580645,-19133.5080645161,-17048.1048387097,-16755.0806451613,-21219.1935483871,-18416.9838709677,-18578.7580645161,-15728.1612903226,-19589.2338709677,-21291.1935483871,-20415.3629032258,-15770.1129032258,-19432.0080645161,-17918.2258064516,-18048.5483870968,-20529.8467741935,-18268.9919354839,-18445.25,-16939.1290322581,-18805.8629032258,-17875.2096774194,-18014.6209677419,-20201.6774193548,-18072.5564516129,-18305.9919354839,-14953.2258064516,-17665.6129032258,-16825.4596774194,-16754.2177419355,-19026.2903225806,-17623.8225806452,-17638.2822580645,-17657.3548387097,-17111.6935483871,-16306.3306451613,-19387.8629032258,-16696.4435483871,-16882.8306451613,-16945.3548387097,-16362.0887096774,-19044.564516129,-17572.935483871,-17578.9032258065,-16824.8225806452,-16433.9112903226,-20690.4596774194,-16940.5967741935,-19329.0322580645,-19884.5725806452,-18509.6693548387,-17536.6612903226,-21332.3709677419,-18728.25,-19309.0080645161,-17934.2338709677,-16250.6693548387,-17995.9193548387,-21650.5806451613,-21567.4677419355,-19535.5322580645,-17284.2822580645,-17788.2258064516,-20223.0403225806,-20206.7258064516,-20170.5887096774,-20241.6048387097,-17488.0403225806,-17272.7903225806,-19028.5483870968,-18635.314516129,-17316.9758064516,-16973.2661290323,-19740.9032258065,-17079.0725806452,-15839.7903225806,-16781.9838709677,-18740.0887096774,-16508.3225806452,-18684.6048387097,-18199.2016129032,-19304.314516129,-18401.935483871,-18905.1370967742,-17534.0725806452,-20951.9838709677,-17479.9435483871,-21660.2177419355,-18237.1612903226,-18559.8548387097,-20137.6532258065,-20363.1370967742,-19731.3306451613,-18425.7419354839,-22624.4838709677,-19681.3467741935
302,S,-25367.1290322581,-23656.4435483871,-28346.5887096774,-26023.5,-27151.3790322581,-26596.3951612903,-27380.0483870968,-24250.8467741935,-25475.8387096774,-27231.9274193548,-28205.6290322581,-28261.9677419355,-26691.9516129032,-23029.2016129032,-28397.5967741935,-26235.0080645161,-25867.2822580645,-24349.4919354839,-27921.6935483871,-27440.9596774194,-24050.3870967742,-25603.814516129,-29154.1370967742,-27293.5161290323,-24809.0161290323,-26598.3225806452,-27118.8064516129,-27565.5483870968,-25297.9193548387,-25497.1693548387,-26117.6370967742,-27040.0080645161,-27341.4919354839,-25931.7822580645,-25185.8629032258,-24401.0564516129,-25649.3387096774,-25844.6693548387,-25858.7419354839,-23968.9838709677,-24415.5080645161,-24215.5887096774,-28038.5806451613,-25380.2822580645,-22276.1532258065,-23117.3064516129,-24934.564516129,-27954.4032258065,-24433.564516129,-25344.1370967742,-25023.8306451613,-23823.3629032258,-23753.7177419355,-24287.9032258065,-26311.0887096774,-23850.3709677419,-26750.7822580645,-23826.1048387097,-24272.6935483871,-26233.7822580645,-24220.7096774194,-25357.0725806452,-22360.6370967742,-24031.0483870968,-24611.0161290323,-23754.5241935484,-23064.7016129032,-24073.1290322581,-23925.7338709677,-23606.6532258065,-22595.5080645161,-22680.3709677419,-24813.9032258065,-26924.5241935484,-23470.4274193548,-24100.6451612903,-23983.9596774194,-24550.9032258065,-27165.3306451613,-26185.8548387097,-24640.7661290323,-26097.25,-23558.3467741935,-26531.75,-25897.9112903226,-24556.2741935484,-26585.9758064516,-26275,-23928.064516129,-25087.0806451613,-27307.4032258065,-29174.3629032258,-26353.064516129,-25137.1451612903,-24347.8629032258,-24420.685483871,-28011.2096774194,-26055.3306451613,-24262.0161290323,-27004.8064516129,-27003.3548387097,-25631.6209677419,-21840.185483871,-24916.5161290323,-25341.1774193548,-26103.5080645161,-27338.7580645161,-24173.935483871,-26097.5967741935,-25285.3790322581,-25169.9274193548,-26278.2258064516,-25881.4112903226,-24320.0403225806,-23887.1774193548,-23638.9596774194,-24004.0080645161,-24090.4677419355,-24200.3790322581,-26597.1290322581,-25729.814516129,-24256.7661290323,-24732.8467741935,-26172.7419354839,-27813.7741935484,-24621.2983870968,-26273.8870967742,-25802.935483871
302,N,-26918.2598425197,-21820.4803149606,-24612.7874015748,-22297.094488189,-23695.7716535433,-21900.4488188976,-20625.3307086614,-23067.6692913386,-25921.5433070866,-25147.9606299213,-24823.3228346457,-23053.7874015748,-23051.5196850394,-25121.6771653543,-27121.4173228346,-27145.7165354331,-23416.6220472441,-23439,-23883.7874015748,-24522.5039370079,-23402.937007874,-24582.811023622,-24512.1496062992,-22072.5275590551,-23000.3070866142,-23540.2283464567,-22172.5984251969,-22583.905511811,-20503.4803149606,-21248.5196850394,-21495.9921259843,-24693.4960629921,-23468.2204724409,-23917.5275590551,-20787.9291338583,-20961.5433070866,-22579.3937007874,-24980.4803149606,-22057.125984252,-21150.3307086614,-20111.8661417323,-21733.3385826772,-24437.0393700787,-24986.125984252,-18371.7401574803,-21038.3228346457,-20017.3858267717,-21225.7480314961,-23021.7007874016,-21360.9606299213,-21566.188976378,-20075.0078740157,-22654.0551181102,-22268.7952755905,-21642.3937007874,-21900.2755905512,-21312.937007874,-20668.2125984252,-21035.0236220472,-23160.968503937,-23485.3228346457,-20578.5905511811,-19890.4409448819,-20200.3937007874,-21263.1417322835,-20073.4645669291,-19868.2677165354,-18654.968503937,-21185.842519685,-19338.968503937,-19845.4251968504,-19085.2677165354,-19476.062992126,-22944.9291338583,-20828.4251968504,-20916.3464566929,-20434.7637795276,-20915.5669291339,-24293.7480314961,-21633.6456692913,-22571.4803149606,-23323.5590551181,-21497.9842519685,-24058.4566929134,-25040.5590551181,-21377.2677165354,-24099.7401574803,-22428.5039370079,-19472.1338582677,-22038.2598425197,-24350.2283464567,-25981.7637795276,-23651.3307086614,-21347.3700787402,-21244.1653543307,-22259.8897637795,-23107.5748031496,-22441.7480314961,-22701.4724409449,-22730.4960629921,-20605.0551181102,-20890.2283464567,-18420.811023622,-20112.1181102362,-20465.188976378,-24376.2440944882,-19799.8582677165,-20882.7401574803,-21517.5826771654,-21845.5275590551,-19342.1338582677,-19726.5669291339,-21160.2440944882,-22863.4960629921,-20385.1338582677,-20757.9606299213,-21373.8582677165,-21576.1181102362,-21252.4960629921,-23700.1417322835,-23462.2204724409,-21516.5039370079,-22095.9763779528,-23861.2598425197,-25603.4566929134,-23865.874015748,-25508.6850393701,-23135.1968503937
302,M,-21651.6446280992,-22214.2231404959,-26736.6198347107,-22841.7520661157,-23959.0247933884,-21179.9834710744,-22041.8512396694,-24564.2479338843,-22943.0330578512,-23516.8760330579,-22694.1074380165,-23547.8595041322,-22627.2066115702,-22279.0743801653,-24285.8842975207,-21981.6198347107,-24056.0165289256,-20064.4545454545,-24530.2561983471,-24707.5371900826,-22903.8842975207,-22798.0826446281,-25507.8760330579,-21246.7438016529,-25405,-24250.3636363636,-24020.479338843,-22778.0330578512,-20944.9173553719,-22143.9173553719,-24337.6611570248,-22863.2314049587,-23924.2809917355,-21172.6280991736,-23599.4628099174,-20475.867768595,-19756.7355371901,-22011.5537190083,-22222.6033057851,-21403.5371900826,-20029.8181818182,-22079.867768595,-24904.0330578512,-20705.9669421488,-19706.826446281,-21522.7107438017,-22905.2727272727,-24865.2561983471,-21914.9338842975,-22274.2644628099,-21911.2396694215,-20702.6694214876,-19837.3801652893,-19835.4462809917,-22709.1239669421,-22158.0082644628,-23564.8842975207,-21483.6115702479,-18120.3801652893,-20678.3636363636,-17413.958677686,-21556.3553719008,-21536.305785124,-21485.5702479339,-20979.2892561983,-21369.7768595041,-20319.0330578512,-21800.5950413223,-22151.1074380165,-21004.4214876033,-19627.6446280992,-20576.5371900826,-21755.0661157025,-23026.1239669421,-20199.7272727273,-20759.4049586777,-20372.5123966942,-20048.2644628099,-23543.9008264463,-21489.3140495868,-21369.2314049587,-22641.7685950413,-20547.0247933884,-19909.5785123967,-22119.041322314,-21920.3966942149,-21738.1074380165,-21764.6694214876,-20737.2066115702,-21020.1074380165,-24614.1404958678,-24729.7768595041,-22202.2066115702,-21067.2809917355,-20883.1900826446,-22386.9090909091,-25160.0165289256,-23817.4545454545,-21779.8512396694,-21738.347107438,-23747.1074380165,-23841.3388429752,-22144.7851239669,-22171.1900826446,-21883.5702479339,-21396.0661157025,-24737.4297520661,-19087.5537190083,-21358.1404958678,-22188.2314049587,-22410.347107438,-25372.867768595,-22964.0082644628,-20708.7272727273,-21941.6363636364,-21811.6280991736,-20134.2314049587,-23513.1983471074,-20407.3801652893,-24578.4545454545,-20431.4297520661,-21294.7520661157,-22791.347107438,-22645.1983471074,-21850.8595041322,-19065.0165289256,-23337.1487603306,-22329.5950413223
